ticker,innovation_decay_score,strategic_decay_score,topic_rigidity_score,management_confidence_score
MMM,-0.006694582892159489,-0.009180069528137137,0.9301069378852844,0.6678581251993908
AOS,0.006513628957132511,-0.006744340604774458,0.6397319436073303,0.5448204050363825
ABT,-0.0029224233554879125,-0.009366608136595239,0.7994336485862732,0.5449194720458526
ABBV,-0.0026723057644137964,0.007897869674185749,0.9926772117614746,0.685887846624488
ACN,0.00046819150902010505,-0.009634839648805507,0.9899230599403381,0.6856777721172864
ADBE,-0.0037814965557080114,-0.008061328836406586,0.982964813709259,0.6035748306811821
AMD,0.00698774005906156,-0.007971243028811647,0.867838442325592,0.3001430020729687
AES,-0.005038341037454508,-0.03615475335924603,0.8045280575752258,0.5774117618720518
AFL,0.0007022103010275812,-0.00464858151131014,0.8024571537971497,0.51094095639858
A,7.758160005782343e-05,0.004821822602876059,0.968982994556427,0.6765905936376811
APD,0.011590906701496397,0.0007927394629091016,0.9851863980293274,0.6391070471381216
ABNB,-0.00916743829558649,0.028602847420092243,0.7289133071899414,0.5888713817989559
AKAM,0.0007002496049327225,-0.002722578049412948,0.8651971817016602,0.5632964384401629
ALB,5.754425726240221e-05,0.004170103438117507,0.8736618161201477,0.5322843367593527
ARE,-0.001589186089829193,0.00010093090516431797,0.9344925880432129,0.4440101842645527
ALGN,0.00619076031542273,0.0007982460996522736,0.9255645275115967,0.5134097222265558
ALLE,0.002673579197301525,-0.013143682488335095,0.8349223136901855,0.5736682411852293
LNT,-0.0015201380742789479,-0.004038974922523883,0.8537163734436035,0.5648005704039976
ALL,-0.0028412485701274992,-0.005042710792612379,0.9818544387817383,0.6005641489671645
GOOGL,-0.01821443451994525,-0.037555329098293976,0.9692347645759583,0.30469824790100125
GOOG,-0.01821443451994525,-0.037555329098293976,0.9691636562347412,0.30469824790100125
MO,-0.0027633914725332656,0.00032546388168250615,0.9885461330413818,0.4624221131260406
AMZN,-0.00016999305700956537,-0.00507626268749169,0.9891269207000732,0.5596612636468421
AMCR,-0.016432850856993805,-0.034352793848532265,0.7526412606239319,0.5524192148844295
AEE,-0.0015527618893832304,-0.001897583251216791,0.8826177716255188,0.5893863336128855
AEP,-0.0001330662169814755,-0.00400766393528866,0.9385075569152832,0.4249454696617781
AXP,-0.0019271340010038715,0.003439785273946294,0.9551528096199036,0.6553739329614946
AMT,-0.0004026221457001674,0.00516330477857301,0.833360493183136,0.6107352686450294
AWK,-0.0015256498158583943,-0.002735908652661669,0.9939184188842773,0.4295224169024736
AMP,-4.268641533884833e-05,0.004328160175263829,0.9951937794685364,0.6748003280867307
AME,0.0012984761383353289,-0.0017294793371017045,0.6871848702430725,0.5118046885542823
AMGN,0.0001302068620932862,-0.0010721419304965956,0.7083258628845215,0.4389827145815536
APH,0.007760846309296629,-0.012648334020813003,0.7562434673309326,0.659857599207407
ADI,0.0023394196542082424,-0.015449579060373135,0.8900110721588135,0.6917536237900107
AON,0.00016189904148005872,-0.000946610022659731,0.9545624852180481,0.7079222867806002
APA,-0.003603975071844714,-0.008505873479656766,0.9849400520324707,0.518322170342339
APO,0.0015637967419919385,0.03653125069881281,0.7587921023368835,0.6590002759890847
AAPL,0.00017761068804719612,-0.01016456961465163,0.8066933751106262,0.5901418846023441
AMAT,0.00874499077768008,0.005242999275673466,0.8711580634117126,0.659284977734674
APP,-0.002979779575827459,0.014025609408128024,0.8818381428718567,0.5911790888132896
APTV,0.003051269052987776,0.001635514371734792,0.9892023205757141,0.3594991870798882
ACGL,0.001072961373390845,-0.008209105286438858,0.8892593383789062,0.6301851796068596
ADM,0.009895210554470998,-0.0007394544973709666,0.3302362859249115,0.6342064121505246
ARES,-0.0002978082934469991,-0.0027880996414149204,0.999440610408783,0.4985784881811151
ANET,-0.012801638243216729,-0.000255982890508679,0.9097753167152405,0.5145061399387172
AJG,0.0010378278928036683,0.0022743342731793913,0.8042182326316833,0.486540798211424
AIZ,-0.0031815506883788257,-0.003961014305783705,0.9954130053520203,0.3139778551158392
T,0.0011965837179024772,-0.003955171248412868,0.9329031109809875,0.4754575289940012
ATO,-0.0,-0.006642742521171137,0.9987075924873352,0.7101801214079788
ADSK,,,0.43008995056152344,0.4651958940503669
ADP,-0.0005615631444135282,0.005460586949754649,0.9772481322288513,0.6379143487540346
AZO,-0.0018181290693844204,-0.018427468213092206,0.7582854628562927,0.4585569251483758
AVB,-0.00607649003637801,-0.007498016234517375,0.9812877178192139,0.7064249193497679
AVY,-0.0,0.004673435143650946,0.9792382121086121,0.6956226086727824
AXON,0.010139129554073109,-0.02639366243853465,0.3119412660598755,0.6608916410155552
BKR,-0.009739130434785288,0.003130434782609131,0.6363427639007568,0.35922742250065004
BALL,0.0010008071320360991,-0.002193423846086191,0.960652768611908,0.47140335497887675
BAC,0.0004471268136459874,-0.0009452376480254748,0.9989242553710938,0.5106880982851666
BAX,-0.006805255178023294,-0.0021468774874603075,0.763624906539917,0.4185286886867591
BDX,0.0014090367287074687,-0.028842773455345215,0.8603032231330872,0.2797062595357058
BRK-B,0.0004302148686340685,-0.009135877791612533,0.9391855597496033,0.5414740872057389
BBY,0.003808489210570937,-0.012992352680320009,0.9883043169975281,0.5554604086646557
TECH,-0.0008664141032553026,0.021511390835717643,1.0000001192092896,0.7433183063100381
BIIB,-0.0004614123676910065,-0.00037629666447206616,0.7478852272033691,0.4656317044683882
BLK,,,0.9917449951171875,0.4802926878788234
BX,-0.0007738020083100138,0.003348390485771706,0.7987737655639648,0.39103459169554183
XYZ,-0.00016512970170336433,-0.005907936022820225,0.989820659160614,0.6129942902383045
BK,-0.019841269841263557,0.1388888888888449,0.9386616945266724,0.44574516313889667
BA,0.002015890650543692,0.007795237748999886,0.9737949371337891,0.4715379892725822
